"canonicalName","EdgeBetweenness","frequency","interaction","inverse distance","name","selected","shared interaction","shared name"
"pqn-66_ok1507 (pp) ser-4_ok512","46.48840169","0.43","pp","0.153755119","pqn-66_ok1507 (pp) ser-4_ok512","false","pp","pqn-66_ok1507 (pp) ser-4_ok512"
"pqn-66_ok1507 (pp) ser-2_pk1357","31.37538532","0.47","pp","0.156593129","pqn-66_ok1507 (pp) ser-2_pk1357","false","pp","pqn-66_ok1507 (pp) ser-2_pk1357"
"pqn-66_ok1507 (pp) ser-1_ok345","34.53437051","0.47","pp","0.150912776","pqn-66_ok1507 (pp) ser-1_ok345","false","pp","pqn-66_ok1507 (pp) ser-1_ok345"
"snf-8_ok349 (pp) trpa-2_tm3092","676.05207643","0.43","pp","0.164797544","snf-8_ok349 (pp) trpa-2_tm3092","false","pp","snf-8_ok349 (pp) trpa-2_tm3092"
"snf-8_ok349 (pp) trpa-2_ok3189","91.64716957","0.45","pp","0.156312155","snf-8_ok349 (pp) trpa-2_ok3189","false","pp","snf-8_ok349 (pp) trpa-2_ok3189"
"snf-8_ok349 (pp) trp-2_gk298","13.55689655","0.42","pp","0.148511543","snf-8_ok349 (pp) trp-2_gk298","false","pp","snf-8_ok349 (pp) trp-2_gk298"
"snf-8_ok349 (pp) trp-1_sy690","17.79533934","0.46","pp","0.137905165","snf-8_ok349 (pp) trp-1_sy690","false","pp","snf-8_ok349 (pp) trp-1_sy690"
"snf-8_ok349 (pp) syg-2_ky671","44.74212021","0.42","pp","0.150317862","snf-8_ok349 (pp) syg-2_ky671","false","pp","snf-8_ok349 (pp) syg-2_ky671"
"unc-127_hs13 (pp) unc-77_gk9","175.75334902","0.49","pp","0.151145956","unc-127_hs13 (pp) unc-77_gk9","false","pp","unc-127_hs13 (pp) unc-77_gk9"
"unc-127_hs13 (pp) unc-29_e193","160.10485772","0.57","pp","0.108661799","unc-127_hs13 (pp) unc-29_e193","false","pp","unc-127_hs13 (pp) unc-29_e193"
"syg-1_ok3640 (pp) unc-98_st85","63.99915445","0.57","pp","0.158339311","syg-1_ok3640 (pp) unc-98_st85","false","pp","syg-1_ok3640 (pp) unc-98_st85"
"syg-1_ok3640 (pp) unc-89_e1460","63.99915445","0.59","pp","0.140231049","syg-1_ok3640 (pp) unc-89_e1460","false","pp","syg-1_ok3640 (pp) unc-89_e1460"
"syg-1_ok3640 (pp) unc-29_e193","184.47636805","0.52","pp","0.113091328","syg-1_ok3640 (pp) unc-29_e193","false","pp","syg-1_ok3640 (pp) unc-29_e193"
"syg-1_ok3640 (pp) unc-127_hs13","158.48136429","0.42","pp","0.12622074","syg-1_ok3640 (pp) unc-127_hs13","false","pp","syg-1_ok3640 (pp) unc-127_hs13"
"syg-1_ok3640 (pp) tyra-3_ok325","13.62025719","0.6","pp","0.129693322","syg-1_ok3640 (pp) tyra-3_ok325","false","pp","syg-1_ok3640 (pp) tyra-3_ok325"
"syg-1_ok3640 (pp) trpa-1_ok999","13.59412331","0.61","pp","0.125188944","syg-1_ok3640 (pp) trpa-1_ok999","false","pp","syg-1_ok3640 (pp) trpa-1_ok999"
"syg-1_ok3640 (pp) tdc-1_n3419","200.9372773","0.55","pp","0.129825562","syg-1_ok3640 (pp) tdc-1_n3419","false","pp","syg-1_ok3640 (pp) tdc-1_n3419"
